epoch,accuracy,dice_coeff,loss,lr,mean_absolute_error,mean_io_u_1,my_haud_dist,my_iou_metric,precision_1,recall_1,val_accuracy,val_dice_coeff,val_loss,val_mean_absolute_error,val_mean_io_u_1,val_my_haud_dist,val_my_iou_metric,val_precision_1,val_recall_1
0,0.29730987548828125,0.5207605957984924,0.2875440716743469,0.001,0.5729953050613403,0.14664459228515625,8.6990966796875,0.0,0.5046725869178772,0.30724388360977173,0.70880126953125,0.6784044504165649,0.19295766949653625,0.42097675800323486,0.1446380615234375,8.092623710632324,0.375,0.7101698517799377,0.9972841143608093
1,0.70257568359375,0.6692084670066833,0.19847489893436432,0.001,0.3971417546272278,0.14664459228515625,7.758059024810791,0.0017326732631772757,0.9198046922683716,0.6344596743583679,0.7103042602539062,0.7546136975288391,0.14723196625709534,0.34143465757369995,0.1446380615234375,8.189173698425293,0.5,0.7106024622917175,0.9994096159934998
2,0.8995285034179688,0.7245261073112488,0.16528430581092834,0.001,0.3340112864971161,0.14664459228515625,6.608381748199463,0.004498797003179789,0.9905424118041992,0.8661016821861267,0.710723876953125,0.796488881111145,0.12210657447576523,0.2938460409641266,0.1446380615234375,8.344573974609375,0.0,0.710723876953125,1.0
3,0.9266891479492188,0.7366671562194824,0.15799973905086517,0.001,0.3200361132621765,0.14664459228515625,5.851343154907227,0.007580351550132036,0.9981518983840942,0.8979272246360779,0.710723876953125,0.8190923929214478,0.10854478925466537,0.2671164870262146,0.1446380615234375,8.48804759979248,0.0,0.710723876953125,1.0
4,0.9297714233398438,0.7405484914779663,0.15567052364349365,0.001,0.3154922127723694,0.14664459228515625,5.76596212387085,0.007287784479558468,0.9991384148597717,0.9014034271240234,0.710723876953125,0.8313426971435547,0.10119438916444778,0.2524440288543701,0.1446380615234375,8.627605438232422,0.0,0.710723876953125,1.0
5,0.9374771118164062,0.7425422668457031,0.15447470545768738,0.001,0.31313031911849976,0.14664459228515625,5.7139458656311035,0.010990319773554802,0.9994676113128662,0.9120155572891235,0.710723876953125,0.8379854559898376,0.09720852226018906,0.24448466300964355,0.1446380615234375,8.737700462341309,0.0,0.710723876953125,1.0
6,0.9467315673828125,0.74424147605896,0.15345506370067596,0.001,0.3111156225204468,0.14664459228515625,5.7893757820129395,0.016689561307430267,0.9995683431625366,0.9250242710113525,0.710723876953125,0.8414866328239441,0.0951080247759819,0.2403145730495453,0.1446380615234375,8.81359577178955,0.0,0.710723876953125,1.0
7,0.956878662109375,0.7460265755653381,0.1523842215538025,0.001,0.3090495467185974,0.14664459228515625,5.733141899108887,0.023700622841715813,0.9994946122169495,0.9394580721855164,0.710723876953125,0.843045711517334,0.09417281299829483,0.23846310377120972,0.1446380615234375,8.853357315063477,0.0,0.710723876953125,1.0
8,0.9657211303710938,0.7475988268852234,0.15144085884094238,0.001,0.30721503496170044,0.14664459228515625,5.749693393707275,0.0406593419611454,0.9993541240692139,0.9521105289459229,0.710723876953125,0.8433348536491394,0.09399926662445068,0.23811161518096924,0.1446380615234375,8.862890243530273,0.0,0.710723876953125,1.0
9,0.9713287353515625,0.7487149834632874,0.150770902633667,0.001,0.3059389293193817,0.14664459228515625,5.711198329925537,0.09415584057569504,0.9991574883460999,0.9602396488189697,0.710723876953125,0.8427397012710571,0.09435641020536423,0.2388017177581787,0.1446380615234375,8.851153373718262,0.0,0.710723876953125,1.0
